"location","detections","species_level_detections","ambiguous_detections","unidentified_detections","species_richness","first_detection","last_detection","nights_with_detections","detections_per_night"
"CBAT-CAL-1B",6094,3582,195,2317,8,2024-07-25 21:58:54,2024-08-04 05:18:08,10,609.4
"CBAT-SHA-1B",4455,3036,91,1328,7,2024-08-04 21:37:55,2024-08-26 05:49:35,22,202.5
"CBAT-HAM-1B",2163,1480,24,659,7,2024-08-03 22:15:44,2024-08-09 23:05:22,7,309
"CBAT-QUA-1B",2134,1266,23,845,6,2024-08-03 21:21:01,2024-08-09 03:58:40,6,355.7
"CBAT-DEE-1B",1917,1188,59,670,7,2024-07-27 22:12:23,2024-08-03 05:21:35,7,273.9
"CBAT-ALL-1B",1883,1307,54,522,7,2024-07-27 22:08:40,2024-08-08 06:30:57,12,156.9
"CBAT-EST-1B",1638,1215,35,388,8,2024-08-02 22:06:21,2024-08-15 05:27:30,13,126
"CBAT-GIL-1B",1460,500,53,907,7,2024-08-05 01:41:48,2024-08-15 06:31:42,11,132.7
"CBAT-KUC-1B",1396,810,19,567,8,2024-07-27 22:20:55,2024-08-03 05:19:29,7,199.4
"CBAT-SIL-1B",1328,294,222,812,8,2024-07-23 21:48:45,2024-08-03 05:47:33,11,120.7
"CBAT-HAB-1B",1174,678,59,437,7,2024-08-04 21:57:45,2024-08-16 05:10:49,12,97.8
"CBAT-VIL-1B",1045,400,36,609,6,2024-07-20 22:51:48,2024-07-28 04:46:13,7,149.3
"CBAT-FLE-1B",985,571,69,345,7,2024-08-03 22:02:46,2024-08-15 06:26:36,12,82.1
"CBAT-NEW-1B",916,437,23,456,7,2024-08-01 22:10:27,2024-08-08 06:07:14,7,130.9
"CBAT-VIR-1B",898,431,10,457,8,2024-07-15 22:37:28,2024-07-25 04:28:57,10,89.8
"CBAT-OLI-1B",783,472,28,283,7,2024-08-02 22:17:19,2024-08-15 05:07:09,13,60.2
"CBAT-HUD-1B",656,292,14,350,7,2024-08-01 22:26:41,2024-08-08 03:34:28,7,93.7
"CBAT-HIG-1B",635,357,22,256,7,2024-08-02 22:28:12,2024-08-15 06:19:06,13,48.8
"CBAT-AUG-1B",555,167,4,384,3,2024-07-29 21:05:24,2024-08-08 06:27:10,10,55.5
"CBAT-WIN-1B",543,147,30,366,6,2024-07-23 22:41:28,2024-07-30 06:09:51,7,77.6
"CBAT-BRA-1B",540,322,17,201,6,2024-07-27 21:08:52,2024-08-03 04:38:24,7,77.1
"CBAT-TRU-1B",419,253,17,149,6,2024-08-01 22:34:06,2024-08-08 06:07:03,7,59.9
"CBAT-WIN-2B",402,150,15,237,6,2024-07-23 22:08:56,2024-07-30 01:05:19,7,57.4
"CBAT-MHA-1B",324,12,5,307,5,2024-07-16 23:19:32,2024-07-23 04:19:01,7,46.3
"CBAT-UNI-1B",246,56,8,182,4,2024-07-20 13:48:23,2024-07-28 05:43:08,8,30.8
"CBAT-LAU-1B",226,120,16,90,6,2024-08-01 21:18:37,2024-08-08 06:10:18,7,32.3
"CBAT-CMB-1B",158,51,11,96,5,2024-08-01 22:44:25,2024-08-08 04:09:36,6,26.3
"CBAT-MCC-1B",156,64,12,80,7,2024-07-30 21:18:48,2024-08-08 06:21:44,9,17.3
"CBAT-STR-1B",147,30,0,117,5,2024-07-21 22:00:01,2024-07-28 05:49:47,7,21
"CBAT-TWI-1B",105,62,3,40,7,2024-07-23 22:30:54,2024-07-30 05:57:13,6,17.5
"CBAT-KEN-1B",70,33,15,22,5,2024-07-18 22:56:17,2024-07-25 04:06:04,7,10
"CBAT-KIL-1B",58,3,1,54,1,2024-07-15 22:57:17,2024-07-23 02:13:19,7,8.3
"CBAT-ALE-1B",43,1,2,40,1,2024-07-22 21:17:42,2024-07-25 23:44:26,4,10.8
"CBAT-WEI-1B",43,13,5,25,6,2024-07-16 23:29:01,2024-07-25 03:17:23,9,4.8
"CBAT-PAR-1B",17,0,2,15,0,2024-07-21 22:47:05,2024-07-23 03:23:18,2,8.5
