"Location","BAT","latitude","longitude","first_visit_date","last_visit_date","visit_types","observers","comments","in_bat_detection_data","site_status"
"CBAT-AUG-2B","AUGUSTANA-2",53.53744,-113.5044,2024-08-26,2024-08-26,"Deployment","Anna Lenz",NA,FALSE,"In metadata only"
"CBAT-KIL-1A","KILLARNEY-1A",53.586363,-113.485997,2024-07-15,2024-07-15,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","At house",FALSE,"In metadata only"
"CBAT-MHA-1A","MHAVEN-1A",53.539709,-113.306535,2024-07-16,2024-07-23,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","Backyard",FALSE,"In metadata only"
"CBAT-VIR-1A","VIRGINIA-1A",53.559506,-113.450649,2024-07-15,2024-07-25,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","House; Backyard",FALSE,"In metadata only"
"CBAT-WEI-1A","WEINLOS-1A",53.459423,-113.414312,2024-07-16,2024-07-25,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","Building",FALSE,"In metadata only"
"CBAT-ZOO-1","ZOO1",53.509312,-113.558838,2024-08-16,2024-08-16,"Deployment","Anna Lenz",NA,FALSE,"In metadata only"
"CBAT-ALE-1B","ALEXANDRA-1",53.512392,-113.510661,2024-07-22,2024-07-30,"Deployment; Retrieval/Refresh","Autumn Kirk; Xavier Lewis; Anna Lenz","On porch; GPS phone coordinates wrong",TRUE,"In processed data"
"CBAT-ALL-1B","ALLAN-1",53.542158,-113.465246,2024-07-27,2024-08-08,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz",NA,TRUE,"In processed data"
"CBAT-AUG-1B","AUGUSTANA-1",53.53744,-113.5044,2024-07-29,2024-08-08,"Deployment; Retrieval/Refresh","Anna Lenz; Autumn Kirk",NA,TRUE,"In processed data"
"CBAT-BRA-1B","BRANDER-1",53.497851,-113.575895,2024-07-27,2024-08-03,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","Backyard",TRUE,"In processed data"
"CBAT-CAL-1B","CALEBO-1",53.471871,-112.962493,2024-07-25,2024-08-04,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","Rural backyard",TRUE,"In processed data"
"CBAT-CMB-1B","CUMBER-1",53.612721,-113.549195,2024-08-01,2024-08-08,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz",NA,TRUE,"In processed data"
"CBAT-DEE-1B","DEERPARK-1",53.435006,-113.843982,2024-07-27,2024-08-03,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","Backyard bat pole",TRUE,"In processed data"
"CBAT-EST-1B","ESTATEWAY-1",53.69243,-113.58114,2024-08-02,2024-08-15,"Retrieval/Refresh; Deployment","Anna Lenz; Autumn Kirk; Robbie Potts",NA,TRUE,"In processed data"
"CBAT-FLE-1B","FLEMING-1",53.440678,-113.725097,2024-08-03,2024-08-15,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz; Robbie Potts",NA,TRUE,"In processed data"
"CBAT-GIL-1B","GILCHRIST-1",53.624025,-113.617951,2024-08-02,2024-08-15,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz; Robbie Potts","In backyard strapped to clothesline",TRUE,"In processed data"
"CBAT-HAB-1B","HABITAT-1",53.544132,-113.161623,2024-08-04,2024-08-16,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz",NA,TRUE,"In processed data"
"CBAT-HAM-1B","HAMPTONS-1",53.488724,-113.674549,2024-08-03,2024-08-15,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz; Robbie Potts",NA,TRUE,"In processed data"
"CBAT-HIG-1B","HIGHPARK-1",53.556856,-113.582164,2024-08-02,2024-08-15,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz; Robbie Potts","In backyard",TRUE,"In processed data"
"CBAT-HUD-1B","HUDSON-1",53.60117,-113.559557,2024-08-01,2024-08-08,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz",NA,TRUE,"In processed data"
"CBAT-KEN-1B","KENSINGTON-1",53.586264,-113.521154,2024-07-18,2024-07-26,"Retrieval/Refresh; Deployment","Autumn Kirk; Anna Lenz","Home",TRUE,"In processed data"
"CBAT-KIL-1B","KILLARNEY-1B",53.586358,-113.486008,2024-07-15,2024-07-23,"Deployment; Retrieval/Refresh","Autumn Kirk; Xavier Lewis; Anna Lenz","At house; In Edmonton",TRUE,"In processed data"
"CBAT-KUC-1B","KUCH-1",53.389279,-113.658496,2024-07-27,2024-08-03,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","Horsepen attached to gate",TRUE,"In processed data"
"CBAT-LAU-1B","LAUREL-1",53.642408,-113.659279,2024-08-01,2024-08-08,"Deployment; Retrieval/Refresh","Autumn Kirk; Alberto De Rosa",NA,TRUE,"In processed data"
"CBAT-MCC-1B","MCCONACHIE-1",53.631251,-113.42328,2024-07-30,2024-08-08,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","On fencepost in backyard",TRUE,"In processed data"
"CBAT-MHA-1B","MHAVEN-1B",53.539686,-113.306593,2024-07-16,2024-07-23,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","At house",TRUE,"In processed data"
"CBAT-NEW-1B","NEWMIS-1",53.636188,-113.64788,2024-08-01,2024-08-08,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz",NA,TRUE,"In processed data"
"CBAT-OLI-1B","OLIVIER-1",53.655441,-113.603077,2024-08-02,2024-08-15,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz; Robbie Potts",NA,TRUE,"In processed data"
"CBAT-PAR-1B","PARKALLEN-1",53.499462,-113.517661,2024-07-21,2024-07-28,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","Pole set up at a house in the Parkallen neighborhood",TRUE,"In processed data"
"CBAT-QUA-1B","QUAIL",53.451296,-113.53341,2024-08-03,2024-08-15,"Deployment; Retrieval/Refresh","Sejer Meyhoff; Anna Lenz; Robbie Potts","Bring python key. Access: find trailatSW corner of parking lot. Follow down steep path,Bushwick cross creek on logjams. Enjoy the Saskatoon and raspberries along the way :); Need to erase one duplicatebranch",TRUE,"In processed data"
"CBAT-SHA-1B","SHANDRA-1",53.653528,-112.767276,2024-08-04,2024-08-26,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","The pole was knocked down",TRUE,"In processed data"
"CBAT-SIL-1B","Silverbell-1",53.40029,-113.696022,2024-07-23,2024-08-03,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz",NA,TRUE,"In processed data"
"CBAT-STR-1B","STRATHEARN-1",53.529661,-113.460079,2024-07-21,2024-07-28,"Deployment; Retrieval/Refresh","Autumn Kirk; Alberto De Rosa; Anna Lenz","Mic pointing towards river. Set up in residential neighborhood of Strathearn",TRUE,"In processed data"
"CBAT-TRU-1B","TRUMPETER-1",53.587916,-113.676135,2024-08-01,2024-08-08,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz",NA,TRUE,"In processed data"
"CBAT-TWI-1B","TWIN-1",53.44691,-113.538805,2024-07-23,2024-07-30,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","At home",TRUE,"In processed data"
"CBAT-UNI-1B","UNIVERSITY-1",53.523069,-113.516951,2024-07-20,2024-07-28,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","Apartment building",TRUE,"In processed data"
"CBAT-VIL-1B","VILLAGE-1",53.516933,-113.328491,2024-07-20,2024-07-28,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz",NA,TRUE,"In processed data"
"CBAT-VIR-1B","VIRGINIA-1B",53.559544,-113.450655,2024-07-15,2024-07-25,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","Home; Backyard",TRUE,"In processed data"
"CBAT-WEI-1B","Weinlos-1B",53.45935,-113.414291,2024-07-16,2024-07-25,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","At house",TRUE,"In processed data"
"CBAT-WIN-1B","Windsor-1",53.520121,-113.537544,2024-07-23,2024-07-30,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","In garden",TRUE,"In processed data"
"CBAT-WIN-2B","Windsor-2",53.526598,-113.536996,2024-07-23,2024-07-30,"Deployment; Retrieval/Refresh","Autumn Kirk; Anna Lenz","Backyard",TRUE,"In processed data"
